fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_SLpM,fighter_Str. Acc.,fighter_SApM,fighter_Str. Def,fighter_TD Avg.,fighter_TD Acc.,fighter_TD Def.,fighter_Sub. Avg.,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Jeri,Sitzes,NULL,165.1,125,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,1,0,NULL,http://ufcstats.com/fighter-details/44a1dd0ef4373edc
Dennis,Siver,NULL,167.64000000000001,145,177.8,Orthodox,1979-01-13,3.87,32%,2.67,65%,0.87,32%,65%,0.3,23,11,0,1,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed
Chas,Skelly,The Scrapper,180.34,145,182.88,Orthodox,1985-05-11,2.01,40%,3.21,49%,1.74,34%,39%,2.3,19,3,0,1,http://ufcstats.com/fighter-details/4bd6b4800070b069
Matt,Skelton,NULL,190.5,265,NULL,Orthodox,1967-01-23,0.00,0%,0.54,0%,0.00,0%,66%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/caced97768818230
Zach,Skinner,NULL,167.64000000000001,145,NULL,Orthodox,NULL,0.53,50%,2.40,32%,5.00,27%,100%,1.0,10,11,0,NULL,http://ufcstats.com/fighter-details/c337c3c85b1871e0
Brian,Sleeman,NULL,172.72,185,NULL,,NULL,4.00,48%,1.85,70%,9.23,100%,100%,0.0,9,9,1,NULL,http://ufcstats.com/fighter-details/9db861c26b63daa8
Joe,Slick,NULL,182.88,199,NULL,Orthodox,1977-10-17,0.00,0%,0.00,0%,0.00,0%,0%,0.0,16,5,3,NULL,http://ufcstats.com/fighter-details/80e6d71e14c1d356
Ray,Sloan,NULL,185.42,205,NULL,,1985-07-14,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,1,0,NULL,http://ufcstats.com/fighter-details/a2d1d3d144fed708
Kestutis,Smirnovas,NULL,177.8,200,NULL,Orthodox,NULL,4.95,52%,5.05,54%,1.55,50%,100%,1.6,24,8,2,NULL,http://ufcstats.com/fighter-details/1979c80150f630c4
Maurice,Smith,NULL,187.96,221,NULL,Orthodox,1961-12-13,0.41,46%,0.47,60%,0.89,50%,20%,0.9,12,14,0,NULL,http://ufcstats.com/fighter-details/33e33d51f289d2a1
Patrick,Smith,NULL,187.96,225,NULL,Orthodox,1963-08-28,0.00,0%,0.00,0%,0.00,0%,0%,0.0,20,17,0,NULL,http://ufcstats.com/fighter-details/46c8ec317aff28ac
Scott,Smith,Hands of Steel,182.88,185,177.8,Orthodox,1979-05-21,1.90,27%,5.87,50%,0.12,6%,58%,0.5,18,11,0,1,http://ufcstats.com/fighter-details/3410cf010558dc8b
Eric,Smith,NULL,NULL,NULL,NULL,Southpaw,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,1,0,NULL,http://ufcstats.com/fighter-details/9114c8ded5ccd71d
Josh,Smith,NULL,182.88,155,NULL,Orthodox,1982-07-02,0.73,28%,1.40,54%,0.00,0%,57%,2.0,9,8,0,NULL,http://ufcstats.com/fighter-details/f626aa1c85f8af03
David,Smith,NULL,NULL,155,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,1,0,NULL,http://ufcstats.com/fighter-details/e955046551f8c7dd
Adam,Smith,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,3,0,NULL,http://ufcstats.com/fighter-details/754968e325d6f60d
Dillon,Smith,NULL,182.88,170,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,0,0,NULL,http://ufcstats.com/fighter-details/ffee353f55e3aa2c
Trevor,Smith,Hot Sauce,190.5,185,190.5,Orthodox,1981-01-05,3.29,55%,3.31,51%,1.70,32%,60%,0.7,15,10,0,NULL,http://ufcstats.com/fighter-details/f797f0c57a83353e
Anthony,Smith,Lionheart,193.04,205,193.04,Orthodox,1988-07-26,3.24,49%,4.60,46%,0.46,26%,50%,0.6,38,20,0,NULL,http://ufcstats.com/fighter-details/d4c9dcd330403612
Colton,Smith,NULL,182.88,155,180.34,Orthodox,1987-08-14,1.64,41%,2.30,51%,4.09,36%,25%,1.4,7,4,0,NULL,http://ufcstats.com/fighter-details/2e25c1d983c26311
Gilbert,Smith,NULL,175.26,185,NULL,Southpaw,1981-10-19,1.09,41%,2.73,35%,3.51,60%,0%,1.2,12,6,0,NULL,http://ufcstats.com/fighter-details/54ed8dc6f8c31207
Leslie,Smith,The Peacemaker,175.26,135,167.64,Orthodox,1982-08-17,7.56,40%,8.41,51%,0.00,0%,62%,0.0,10,7,1,NULL,http://ufcstats.com/fighter-details/76984112f697631f
Devonte,Smith,King Kage,175.26,155,193.04,Orthodox,1993-07-30,4.55,53%,3.91,49%,0.35,25%,85%,0.3,11,4,0,NULL,http://ufcstats.com/fighter-details/207773daeb4afa7b
Cole,Smith,The Cole Train,180.34,135,170.18,Orthodox,1989-04-05,1.78,35%,1.96,49%,1.67,33%,45%,1.7,7,2,0,NULL,http://ufcstats.com/fighter-details/56709e66f1c6008f
Nate,Smith,The Savage,167.64000000000001,125,175.26,Switch,1995-04-09,1.28,38%,2.04,35%,0.00,0%,33%,2.3,6,1,0,NULL,http://ufcstats.com/fighter-details/0bbb69f69c9a2eea
Braxton,Smith,The Beautiful Monster,180.34,257,182.88,Orthodox,1990-01-01,6.46,48%,11.54,32%,0.00,0%,100%,0.0,5,2,0,NULL,http://ufcstats.com/fighter-details/eaa9402e5a7990ad
Elijah,Smith,Swift,175.26,135,180.34,Orthodox,2002-09-05,5.00,41%,5.07,43%,5.00,45%,100%,1.0,7,1,0,NULL,http://ufcstats.com/fighter-details/7478b7f959ba61f5
Jacobe,Smith,Cobe,177.8,170,182.88,Southpaw,1996-01-17,6.95,76%,1.39,54%,13.26,87%,0%,0.0,9,0,0,NULL,http://ufcstats.com/fighter-details/85497ffd934ecf7e
