fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_SLpM,fighter_Str. Acc.,fighter_SApM,fighter_Str. Def,fighter_TD Avg.,fighter_TD Acc.,fighter_TD Def.,fighter_Sub. Avg.,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Tom,Aaron,NULL,NULL,155,NULL,,1978-07-13,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,3,0,NULL,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny,Abbadi,The Assassin,180.34,155,NULL,Orthodox,1983-07-03,3.29,38%,4.41,57%,0.00,0%,77%,0.0,4,6,0,NULL,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman,Abbasov,Bayraktar,172.72,155,167.64,Orthodox,1994-02-01,3.00,20%,5.67,46%,0.00,0%,66%,0.0,28,4,0,NULL,http://ufcstats.com/fighter-details/59a9d6dac61c2540
David,Abbott,Tank,182.88,265,NULL,Switch,NULL,1.35,30%,3.55,38%,1.07,33%,66%,0.0,10,15,0,NULL,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy,Abdelwahab,The Hammer,187.96,264,182.88,Southpaw,1993-01-22,3.87,52%,3.13,59%,3.00,75%,0%,0.0,5,0,0,1,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur,Abdul-Malik,NULL,187.96,185,200.66,Orthodox,1997-10-07,6.61,54%,4.21,53%,0.00,0%,75%,0.0,7,0,0,NULL,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil,Abdurakhimov,Abrek,190.5,235,193.04,Orthodox,1981-09-02,2.41,44%,3.02,55%,1.01,23%,45%,0.1,20,8,0,NULL,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki,Abe,Abe Ani,167.64000000000001,145,NULL,Orthodox,NULL,1.71,36%,3.11,63%,0.00,0%,33%,0.0,8,15,3,1,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi,Abe,NULL,180.34,170,180.34,Orthodox,1991-11-27,3.80,33%,4.49,56%,0.33,50%,0%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy,Abedi,Makambo,180.34,185,NULL,Southpaw,1978-06-30,2.80,55%,3.15,48%,3.47,57%,50%,1.3,10,4,0,NULL,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo,Abreu,Demente,180.34,185,NULL,Orthodox,1984-04-27,3.79,31%,3.98,68%,2.13,42%,100%,0.7,5,1,0,NULL,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson,Abreu,White Bear,182.88,205,187.96,Orthodox,1992-12-24,2.05,40%,2.90,55%,0.64,20%,80%,0.0,15,4,0,1,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg,Abreu,NULL,NULL,NULL,NULL,,1980-12-20,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,0,0,NULL,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel,Acacio,NULL,172.72,180,NULL,Orthodox,1977-12-27,3.52,36%,2.85,62%,0.33,20%,81%,0.0,30,18,0,NULL,http://ufcstats.com/fighter-details/1c5879330d42255f
John,Adajar,The Outlaw,175.26,170,190.5,Orthodox,1991-06-22,3.90,52%,6.28,44%,0.00,0%,0%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott,Adams,NULL,182.88,225,NULL,Southpaw,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,1,0,NULL,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan,Adams,The Kraken,195.57999999999998,265,203.2,Orthodox,1992-01-16,7.09,55%,4.06,34%,0.91,66%,57%,0.0,5,3,0,NULL,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony,Adams,Sugafoot,185.42,185,193.04,Orthodox,1988-01-13,3.17,41%,5.93,44%,0.00,0%,0%,0.0,8,2,0,NULL,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh,Adashev,The Lion,165.1,125,165.1,Southpaw,1992-07-29,3.65,40%,3.04,64%,0.00,0%,100%,0.5,4,4,0,NULL,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel,Adesanya,The Last Stylebender,193.04,185,203.2,Switch,1989-07-22,4.00,48%,3.21,56%,0.05,12%,75%,0.1,24,4,0,NULL,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam,Adkins,The Experience,190.5,225,NULL,Orthodox,1965-04-26,0.00,0%,0.00,0%,0.00,0%,0%,0.0,7,20,2,NULL,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed,Ado,NULL,180.34,170,193.04,Switch,2000-05-03,1.66,83%,0.33,75%,4.97,50%,50%,5.0,5,1,0,NULL,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick,Agallar,NULL,172.72,155,NULL,Orthodox,1979-01-13,0.69,11%,4.56,42%,0.00,0%,0%,0.0,24,6,0,NULL,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya,Agapova,Money Mashka,167.64000000000001,125,172.72,Southpaw,1997-04-07,4.43,54%,3.62,52%,0.55,66%,45%,0.8,10,5,0,NULL,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Kantharaj,Agasa,Kannadiga,NULL,135,NULL,,1992-02-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0,12,3,0,NULL,http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo,Aguiar,NULL,177.8,170,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,3,1,NULL,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio,Aguiar,NULL,182.88,185,NULL,,1988-02-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0,17,1,0,NULL,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin,Aguilar,Tigre,177.8,185,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,26,19,0,1,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica,Aguilar,Jag,160.02,115,160.02,Orthodox,1982-05-08,4.93,50%,7.19,53%,0.94,25%,50%,0.2,20,8,0,NULL,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin,Aguilar,Angel of Death,170.18,155,185.42,Orthodox,1988-09-07,3.96,40%,4.81,52%,0.16,16%,78%,0.0,17,5,0,NULL,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus,Aguilar,NULL,162.56,125,157.48,Orthodox,1996-03-13,1.46,51%,1.26,58%,1.75,33%,36%,1.8,11,2,0,NULL,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian,Aguilera,The Beast,175.26,170,182.88,Switch,1991-11-25,2.54,37%,4.04,48%,0.00,0%,60%,0.0,14,8,0,NULL,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick,Aguirre,Slick,175.26,135,187.96,Southpaw,1996-01-15,0.73,33%,2.89,45%,1.16,20%,33%,0.6,7,2,0,NULL,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Mike,Aina,Iron,175.26,155,NULL,Orthodox,NULL,2.87,33%,6.33,59%,0.00,0%,71%,0.0,14,6,1,1,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek,Ajim,Peak Physique,172.72,135,180.34,Switch,1994-06-19,5.00,40%,11.25,25%,0.00,0%,0%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi,Akano,Girlfight Monster,162.56,135,NULL,Southpaw,1974-07-27,0.59,45%,2.58,55%,0.00,0%,8%,0.5,18,10,0,NULL,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari,Akhmedov,Wolverine,182.88,185,185.42,Orthodox,1987-10-12,2.97,34%,2.84,55%,2.58,45%,65%,0.2,21,6,1,NULL,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro,Akiyama,NULL,177.8,170,190.5,Orthodox,1975-07-29,3.10,41%,3.62,57%,2.29,67%,92%,1.0,14,6,0,2,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem,Akman,NULL,177.8,170,182.88,Switch,1991-12-19,1.80,25%,3.97,57%,1.00,40%,87%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak,Al-Hassan,NULL,187.96,205,NULL,Orthodox,1982-05-14,3.27,39%,3.14,60%,0.65,14%,57%,0.0,13,5,0,NULL,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Abdul-Kareem,Al-Selwady,Pride of Palestine,172.72,155,175.26,Orthodox,1995-04-10,4.14,34%,3.60,59%,2.32,30%,20%,0.0,15,4,0,NULL,http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha,Al-Turk,NULL,187.96,245,195.58,Orthodox,1973-07-14,1.36,19%,3.61,53%,0.00,0%,0%,0.0,6,6,0,NULL,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem,Alacabek,NULL,187.96,205,190.5,Orthodox,1991-06-07,3.84,65%,6.66,23%,2.06,50%,42%,0.0,5,1,0,NULL,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi,Alanis,NULL,167.64000000000001,135,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,4,0,NULL,http://ufcstats.com/fighter-details/2144954270be834d
Alatengheili,NULL,The Mongolian Knight,165.1,135,167.64,Orthodox,1991-12-14,2.64,32%,4.67,57%,1.99,45%,75%,0.0,17,9,2,NULL,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir,Albazi,The Prince,165.1,125,172.72,Orthodox,1993-10-27,2.72,34%,3.71,61%,1.39,32%,50%,0.5,17,2,0,NULL,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett,Albee,NULL,NULL,225,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,2,0,NULL,http://ufcstats.com/fighter-details/9b28292abe3166d5
John,Albert,Prince,172.72,135,172.72,Orthodox,1986-10-13,3.05,49%,2.82,35%,0.00,0%,50%,6.1,6,5,0,NULL,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior,Albini,Baby,190.5,264,187.96,Orthodox,1991-03-15,3.98,51%,6.08,52%,1.54,37%,100%,0.0,14,6,0,NULL,http://ufcstats.com/fighter-details/c482c8605455a213
Wes,Albritton,NULL,177.8,188,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra,Albu,Stitch,157.48000000000002,115,160.02,Orthodox,1990-07-14,4.83,47%,5.56,38%,2.27,50%,77%,0.4,3,2,0,NULL,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel,Albuquerque,NULL,NULL,185,NULL,Orthodox,NULL,0.32,13%,3.34,25%,0.00,0%,0%,0.0,0,3,0,NULL,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan,Alcain,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,2,0,NULL,http://ufcstats.com/fighter-details/39f62b833e4cf126
Iuri,Alcantara,Marajo,175.26,135,180.34,Southpaw,1980-08-04,2.72,45%,2.79,49%,1.44,62%,60%,0.8,35,10,0,1,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar,Alcantara,Marajo,187.96,185,198.12,Orthodox,1982-11-18,1.93,38%,2.63,50%,2.00,68%,81%,0.9,21,11,0,NULL,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso,Alcarez,NULL,160.02,145,NULL,,1970-06-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,3,1,NULL,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert,Aldana,El Peligro,185.42,250,NULL,Orthodox,1977-08-25,2.91,54%,6.26,26%,2.57,40%,33%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene,Aldana,NULL,175.26,135,172.72,Orthodox,1988-03-26,5.19,39%,6.64,56%,0.15,50%,77%,0.2,15,8,0,NULL,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector,Aldana,NULL,180.34,170,182.88,Orthodox,1988-08-17,3.59,38%,5.08,59%,0.93,100%,0%,0.0,4,3,0,NULL,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose,Alday,Pochito,170.18,135,172.72,Orthodox,1991-09-14,3.13,44%,3.13,58%,0.00,0%,57%,0.0,14,6,1,NULL,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose,Aldo,NULL,170.18,135,177.8,Orthodox,1986-09-09,3.62,46%,3.72,60%,0.49,53%,92%,0.1,32,9,0,NULL,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ,Aldrich,NULL,165.1,125,170.18,Southpaw,1992-09-29,3.88,46%,4.38,60%,0.66,23%,66%,0.0,13,7,0,NULL,http://ufcstats.com/fighter-details/6fd953151d981979
Irina,Alekseeva,Russian Ronda,172.72,135,170.18,Orthodox,1990-06-27,3.84,43%,3.55,48%,0.87,20%,100%,0.9,5,2,0,NULL,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita,Alencar,Problem Child,154.94,115,147.32,Orthodox,1990-10-17,2.49,28%,4.80,52%,2.00,13%,50%,0.0,5,1,1,NULL,http://ufcstats.com/fighter-details/d35298b6df168456
Jim,Alers,The Beast,175.26,145,180.34,Orthodox,1986-10-14,2.90,40%,4.38,56%,2.26,41%,80%,0.3,13,3,0,1,http://ufcstats.com/fighter-details/fe5a9547479396ab
John,Alessio,The Natural,177.8,155,182.88,Orthodox,1979-07-05,2.10,39%,2.91,54%,1.85,38%,70%,1.2,35,17,0,2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston,Alexander,The Assassin,182.88,205,182.88,Orthodox,1972-03-22,3.06,54%,3.20,52%,1.19,57%,33%,0.0,17,15,1,2,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth,Alexander,The Machine,175.26,155,NULL,Orthodox,1977-09-25,0.88,19%,2.20,66%,4.71,26%,0%,0.0,7,6,0,1,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas,Alexander,The Lion,180.34,145,185.42,Orthodox,1995-07-28,5.23,55%,1.83,71%,0.00,0%,57%,0.0,8,4,0,NULL,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio,Alexandre Junior,Lyoto,182.88,185,190.5,Southpaw,1989-05-05,1.61,45%,2.89,42%,0.35,20%,66%,0.7,17,4,0,NULL,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf,Alfonso,NULL,187.96,170,NULL,Orthodox,1974-08-06,1.65,38%,4.77,53%,0.37,7%,22%,0.7,8,12,0,NULL,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo,Alfonso,The Hurricane,172.72,145,NULL,,1983-05-09,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,7,0,NULL,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi,Alford,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,7,0,NULL,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill,Algeo,Senor Perfecto,182.88,145,185.42,Switch,1989-06-09,5.88,51%,4.38,47%,1.03,50%,55%,0.1,18,9,0,NULL,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce,Alger,NULL,177.8,199,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,3,2,0,NULL,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,NULL,190.5,250,NULL,,1984-06-10,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,1,0,NULL,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,NULL,180.34,170,187.96,Orthodox,1984-09-17,1.41,45%,2.20,56%,1.76,38%,100%,0.0,15,3,0,NULL,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo,Aliev,Tajik Eagle,177.8,155,182.88,Orthodox,2000-12-08,2.50,51%,0.46,59%,3.06,44%,0%,0.0,9,0,0,NULL,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram,Aliskerov,NULL,182.88,185,193.04,Southpaw,1992-12-07,7.03,60%,7.27,36%,1.82,33%,0%,1.8,15,2,0,NULL,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon,Aliu,The Albanian Lion,182.88,185,187.96,Orthodox,1989-07-14,6.32,50%,10.11,38%,0.00,0%,0%,0.0,10,2,0,NULL,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John,Allan,NULL,185.42,205,190.5,Orthodox,1993-02-22,3.56,42%,5.74,52%,1.40,71%,50%,0.8,13,7,0,1,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,NULL,187.96,205,NULL,Open Stance,1967-01-13,0.80,38%,3.10,43%,0.00,0%,50%,0.0,13,19,2,NULL,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold,Allen,Almighty,172.72,145,177.8,Southpaw,1994-01-22,3.45,41%,2.88,61%,0.93,47%,75%,0.3,20,3,0,NULL,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan,Allen,All In,187.96,185,190.5,Orthodox,1995-12-28,3.79,53%,3.83,46%,1.67,39%,58%,1.3,24,6,0,NULL,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel,Allen,NULL,182.88,155,190.5,Southpaw,1992-08-10,7.60,51%,5.87,53%,2.00,66%,100%,0.0,5,0,0,NULL,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben,Alloway,Blanco,180.34,170,193.04,Orthodox,1981-02-19,1.28,49%,1.90,59%,0.62,50%,26%,0.0,18,8,0,NULL,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu,Almabayev,Zulfikar,162.56,125,165.1,Orthodox,1994-01-25,2.11,56%,1.02,59%,5.08,50%,50%,1.7,21,2,0,NULL,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat,Almakhan,The Turan Warrior,170.18,135,172.72,Orthodox,1997-10-08,0.20,18%,4.53,30%,0.00,0%,0%,0.0,11,2,0,NULL,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John,Dave Almanza,The Striker,170.18,125,170.18,Southpaw,2004-03-22,1.92,41%,5.75,27%,0.00,0%,0%,0.0,6,1,0,NULL,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo,Almeida,Big Dog,182.88,170,187.96,Orthodox,1976-11-29,2.02,49%,1.20,61%,3.74,38%,31%,1.2,13,5,0,NULL,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno,Almeida,NULL,182.88,155,NULL,,1985-06-06,1.67,36%,2.60,41%,0.00,0%,40%,5.0,10,3,0,1,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas,Almeida,Thominhas,170.18,145,177.8,Southpaw,1991-07-31,4.84,43%,4.93,61%,0.17,14%,75%,0.0,22,5,0,NULL,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka,Almeida,NULL,167.64000000000001,115,NULL,Orthodox,1989-03-05,1.07,39%,3.33,43%,0.50,33%,37%,0.0,7,3,0,NULL,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,NULL,162.56,125,NULL,Orthodox,1988-10-17,3.13,37%,6.07,42%,0.00,0%,0%,0.0,7,3,0,NULL,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton,Almeida,Malhadinho,190.5,205,200.66,Orthodox,1991-06-26,2.46,64%,0.72,40%,6.85,59%,75%,2.6,21,3,0,NULL,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas,Almeida,NULL,180.34,145,180.34,Orthodox,1991-01-31,4.94,43%,4.92,46%,0.00,0%,50%,0.0,15,3,0,NULL,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar,Almeida,Cesinha,185.42,185,187.96,Orthodox,1988-03-28,4.12,57%,2.18,47%,0.00,0%,57%,0.3,6,1,0,NULL,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio,Alonso,NULL,187.96,170,NULL,,1980-02-27,5.74,34%,1.91,67%,0.00,0%,0%,0.0,13,7,0,1,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah,Alpar,Too Sweet,162.56,135,160.02,Southpaw,1991-06-01,2.36,44%,6.06,38%,1.61,26%,20%,0.4,9,6,0,NULL,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali,AlQaisi,The Royal Fighter,167.64000000000001,135,172.72,Orthodox,1990-09-23,2.43,42%,1.97,56%,3.50,29%,60%,1.0,8,5,0,NULL,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico,Altamirano,NULL,177.8,170,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,4,3,0,NULL,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor,Altamirano,El Magnifico,172.72,125,177.8,Switch,1991-01-23,4.58,53%,3.82,53%,2.88,38%,63%,0.0,12,5,0,NULL,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike,Altman,NULL,177.8,185,NULL,Orthodox,NULL,1.56,20%,2.08,75%,0.00,0%,0%,0.0,1,4,0,NULL,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia,Alujas,The Angel,162.56,115,162.56,Orthodox,1996-05-08,5.83,31%,9.25,44%,0.00,0%,0%,0.0,9,3,0,NULL,http://ufcstats.com/fighter-details/430c533614d45813
Sean,Alvarez,NULL,182.88,235,NULL,Orthodox,1971-07-14,0.89,37%,3.25,47%,0.00,0%,0%,0.0,4,3,0,NULL,http://ufcstats.com/fighter-details/e741536153227386
Eddie,Alvarez,NULL,175.26,155,175.26,Orthodox,1984-01-11,4.32,41%,4.39,55%,2.92,36%,92%,0.5,29,6,0,1,http://ufcstats.com/fighter-details/33a331684283900f
Jaime,Alvarez,NULL,172.72,125,175.26,Orthodox,1988-03-08,2.73,40%,4.53,56%,1.00,33%,50%,0.0,6,1,0,NULL,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel,Alvarez,El Fenomeno,190.5,155,195.58,Orthodox,1993-03-02,4.39,52%,3.36,51%,0.00,0%,42%,1.2,21,3,0,NULL,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago,Alves,Pitbull,175.26,170,177.8,Orthodox,1983-10-03,3.73,41%,3.42,62%,0.71,60%,63%,0.3,23,15,0,NULL,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony,Alves,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,1,4,0,NULL,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar,Alves,NULL,182.88,170,NULL,Southpaw,1988-08-08,0.50,46%,2.02,30%,0.00,0%,53%,0.0,15,12,0,NULL,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley,Alves,NULL,180.34,185,182.88,Orthodox,1991-01-04,3.04,48%,3.95,50%,1.22,50%,62%,0.8,15,8,0,NULL,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael,Alves,The Turn,172.72,155,172.72,Orthodox,1990-11-14,1.85,48%,3.30,58%,0.29,25%,44%,1.5,20,12,0,NULL,http://ufcstats.com/fighter-details/029afd138865d20a
Sam,Alvey,Smile'N,187.96,185,190.5,Southpaw,1986-05-06,3.28,44%,3.63,52%,0.06,14%,82%,0.1,33,18,1,1,http://ufcstats.com/fighter-details/d156513a19acf856
Andre,Amado,Dida,182.88,154,NULL,Orthodox,NULL,2.27,24%,5.91,63%,0.00,0%,20%,0.0,6,4,1,NULL,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan,Amagov,Borz,187.96,170,193.04,Orthodox,1986-10-30,3.29,47%,0.82,78%,5.84,56%,100%,0.0,14,2,1,NULL,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara,Amanajas dos Santos,NULL,165.1,115,NULL,Southpaw,1987-07-11,5.53,35%,24.47,33%,0.00,0%,100%,0.0,7,3,0,NULL,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris,Amarante,NULL,NULL,185,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2,0,0,NULL,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy,Ambriz,The Titan,187.96,315,NULL,Southpaw,1970-01-26,0.83,29%,3.76,40%,3.13,57%,100%,0.8,17,21,1,NULL,http://ufcstats.com/fighter-details/c912f676692c353a
JJ,Ambrose,NULL,177.8,170,NULL,Orthodox,NULL,3.16,69%,6.32,33%,0.00,0%,50%,0.0,28,7,0,2,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen,Amedovski,NULL,177.8,185,187.96,Orthodox,1988-04-06,0.99,30%,3.85,46%,0.00,0%,0%,0.0,8,4,0,NULL,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder,Amil,The Hurricane,175.26,145,177.8,Switch,1990-05-28,6.31,57%,2.23,61%,0.64,33%,78%,1.9,10,0,0,NULL,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid,Amiri,The Storm,NULL,145,NULL,,2003-06-15,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,0,0,NULL,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan,Amirkhani,Mr. Finland,177.8,145,182.88,Southpaw,1988-11-08,1.33,44%,2.98,46%,3.96,43%,35%,1.1,17,9,0,NULL,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline,Amorim,NULL,160.02,115,172.72,Orthodox,1995-06-24,3.05,52%,1.72,63%,1.78,28%,0%,5.3,9,1,0,NULL,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Bertrand,Amoussou,NULL,172.72,190,NULL,Orthodox,NULL,6.75,39%,2.01,83%,0.00,0%,0%,0.0,1,1,0,NULL,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl,Amoussou,The Psycho,180.34,185,NULL,Orthodox,1985-11-21,1.47,34%,2.67,54%,0.00,0%,25%,1.0,27,7,2,NULL,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk,Anders,Ya Boi,185.42,185,190.5,Southpaw,1987-04-21,3.41,47%,4.17,50%,1.79,26%,79%,0.1,16,8,0,1,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt,Andersen,NULL,187.96,230,NULL,Southpaw,1971-05-29,0.00,0%,0.00,0%,0.00,0%,0%,0.0,14,8,1,NULL,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy,Anderson,The Hammer,167.64000000000001,240,NULL,,1974-07-16,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell,Anderson,NULL,167.64000000000001,160,NULL,Orthodox,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey,Anderson,Overtime,190.5,205,200.66,Orthodox,1989-09-22,4.43,46%,2.22,59%,4.89,50%,83%,0.0,14,5,0,NULL,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek,Anderson,Barbaric,182.88,155,NULL,,1990-02-02,3.97,37%,3.08,61%,0.34,14%,60%,0.0,14,3,0,1,http://ufcstats.com/fighter-details/19ba965651486013
Megan,Anderson,NULL,182.88,145,182.88,Orthodox,1990-02-11,1.76,46%,3.35,37%,0.52,25%,53%,0.5,11,5,0,NULL,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
