fighter_id,fighter_detail_url,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,clinch_strikes_att,clinch_strikes_succ,ground_strikes_att,ground_strikes_succ,fight_url,eventurl
Jon Jones,http://ufcstats.com/fighter-details/07f72a2a7591b409,1,128,104,119,96,1,1,0,0,3:51,91,70,18,16,10,10,70,54,3,2,46,40,http://ufcstats.com/fight-details/b35e47f2f58ef026,http://ufcstats.com/event-details/daff32bc96d1eabf
Stipe Miocic,http://ufcstats.com/fighter-details/d28dee5c705991df,0,94,42,89,37,0,0,0,0,0:00,75,24,8,7,6,6,83,32,5,4,1,1,http://ufcstats.com/fight-details/b35e47f2f58ef026,http://ufcstats.com/event-details/daff32bc96d1eabf
Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,0,153,117,122,88,12,5,2,0,14:52,82,56,25,18,15,14,98,67,5,3,19,18,http://ufcstats.com/fight-details/4f4189009a190e35,http://ufcstats.com/event-details/daff32bc96d1eabf
Michael Chandler,http://ufcstats.com/fighter-details/4b93a88f3b1de35b,0,181,150,113,84,1,0,0,0,1:59,85,59,18,16,10,9,89,60,0,0,24,24,http://ufcstats.com/fight-details/4f4189009a190e35,http://ufcstats.com/event-details/daff32bc96d1eabf
Bo Nickal,http://ufcstats.com/fighter-details/35673bf5204524ee,0,85,54,85,54,0,0,0,0,0:00,50,24,16,13,19,17,85,54,0,0,0,0,http://ufcstats.com/fight-details/cfd3e62c638fbd1f,http://ufcstats.com/event-details/daff32bc96d1eabf
Paul Craig,http://ufcstats.com/fighter-details/eabf206b162b3b83,0,130,48,129,47,0,0,0,0,0:00,93,21,23,14,13,12,129,47,0,0,0,0,http://ufcstats.com/fight-details/cfd3e62c638fbd1f,http://ufcstats.com/event-details/daff32bc96d1eabf
Viviane Araujo,http://ufcstats.com/fighter-details/36541f1e6c5d4955,0,152,105,85,48,3,3,1,0,2:25,70,34,5,4,10,10,76,41,1,1,8,6,http://ufcstats.com/fight-details/8545a2495db16538,http://ufcstats.com/event-details/daff32bc96d1eabf
Karine Silva,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,0,155,76,132,58,7,1,1,0,3:30,83,26,19,10,30,22,117,45,13,11,2,2,http://ufcstats.com/fight-details/8545a2495db16538,http://ufcstats.com/event-details/daff32bc96d1eabf
Mauricio Ruffy,http://ufcstats.com/fighter-details/9c393e836a852f30,1,120,74,113,67,0,0,0,0,0:16,97,53,8,6,8,8,101,57,3,3,9,7,http://ufcstats.com/fight-details/55eebc2ee92bf00a,http://ufcstats.com/event-details/daff32bc96d1eabf
James Llontop,http://ufcstats.com/fighter-details/93b2b7caa457cbea,0,260,112,236,90,6,0,0,0,1:20,143,29,62,39,31,22,215,75,21,15,0,0,http://ufcstats.com/fight-details/55eebc2ee92bf00a,http://ufcstats.com/event-details/daff32bc96d1eabf
Jonathan Martinez,http://ufcstats.com/fighter-details/f2477cf43c4975cc,0,109,49,108,48,0,0,0,0,0:57,76,24,8,3,24,21,105,46,3,2,0,0,http://ufcstats.com/fight-details/2a930e2d7e1f87a9,http://ufcstats.com/event-details/daff32bc96d1eabf
Marcus McGhee,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,0,226,105,223,102,0,0,0,0,0:00,167,60,27,18,29,24,220,100,3,2,0,0,http://ufcstats.com/fight-details/2a930e2d7e1f87a9,http://ufcstats.com/event-details/daff32bc96d1eabf
Jim Miller,http://ufcstats.com/fighter-details/d1941565abf50b16,0,25,11,24,10,0,0,1,0,0:00,19,5,2,2,3,3,23,9,1,1,0,0,http://ufcstats.com/fight-details/35c8223cc967fe0a,http://ufcstats.com/event-details/daff32bc96d1eabf
Damon Jackson,http://ufcstats.com/fighter-details/29af297d9f1de0f8,0,31,16,31,16,3,0,0,0,0:27,17,8,12,6,2,2,31,16,0,0,0,0,http://ufcstats.com/fight-details/35c8223cc967fe0a,http://ufcstats.com/event-details/daff32bc96d1eabf
David Onama,http://ufcstats.com/fighter-details/ffe9703408fb5964,1,242,145,213,121,3,1,1,0,4:23,171,91,28,18,14,12,153,85,11,8,49,28,http://ufcstats.com/fight-details/c565e2baa27cc7e5,http://ufcstats.com/event-details/daff32bc96d1eabf
Roberto Romero,http://ufcstats.com/fighter-details/15ea371202eb25e1,1,165,79,155,74,0,0,0,0,1:14,97,30,21,14,37,30,144,68,8,5,3,1,http://ufcstats.com/fight-details/c565e2baa27cc7e5,http://ufcstats.com/event-details/daff32bc96d1eabf
Marcin Tybura,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,0,187,153,49,35,3,1,0,1,7:14,46,33,2,1,1,1,19,9,0,0,30,26,http://ufcstats.com/fight-details/6c1faa6284428e5d,http://ufcstats.com/event-details/daff32bc96d1eabf
Jhonata Diniz,http://ufcstats.com/fighter-details/25f9a5f3e8a52618,0,44,27,29,15,0,0,0,0,0:36,27,13,1,1,1,1,18,8,1,1,10,6,http://ufcstats.com/fight-details/6c1faa6284428e5d,http://ufcstats.com/event-details/daff32bc96d1eabf
Mickey Gall,http://ufcstats.com/fighter-details/9e50097a89442158,0,43,30,41,28,0,0,0,0,0:00,38,25,3,3,0,0,39,26,2,2,0,0,http://ufcstats.com/fight-details/00414fc5519233b4,http://ufcstats.com/event-details/daff32bc96d1eabf
Ramiz Brahimaj,http://ufcstats.com/fighter-details/3d074044a33825e7,1,56,31,56,31,0,0,0,0,0:03,50,27,3,1,3,3,43,22,9,6,4,3,http://ufcstats.com/fight-details/00414fc5519233b4,http://ufcstats.com/event-details/daff32bc96d1eabf
Bassil Hafez,http://ufcstats.com/fighter-details/f4d92416da98804b,0,70,24,70,24,0,0,0,0,0:06,55,16,9,2,6,6,69,23,1,1,0,0,http://ufcstats.com/fight-details/9676a4e9362e4bfd,http://ufcstats.com/event-details/daff32bc96d1eabf
Oban Elliott,http://ufcstats.com/fighter-details/6b56e94a59b7b134,1,118,66,117,65,0,0,0,0,0:05,60,22,24,16,33,27,107,55,2,2,8,8,http://ufcstats.com/fight-details/9676a4e9362e4bfd,http://ufcstats.com/event-details/daff32bc96d1eabf
Veronica Hardy,http://ufcstats.com/fighter-details/4798e823ada58fe9,0,119,61,103,46,0,0,0,0,0:00,61,16,26,16,16,14,94,39,1,0,8,7,http://ufcstats.com/fight-details/40e2a7b65794ac05,http://ufcstats.com/event-details/daff32bc96d1eabf
Eduarda Moura,http://ufcstats.com/fighter-details/de594b35c45c2e9a,0,96,41,76,26,4,3,0,0,4:13,71,22,5,4,0,0,68,19,2,2,6,5,http://ufcstats.com/fight-details/40e2a7b65794ac05,http://ufcstats.com/event-details/daff32bc96d1eabf
Neil Magny,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,0,33,23,20,10,7,0,0,0,1:31,17,7,2,2,1,1,19,9,1,1,0,0,http://ufcstats.com/fight-details/73f451d894a1d4ca,http://ufcstats.com/event-details/585f9ffdb0cd0466
Carlos Prates,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,2,22,13,21,12,1,1,0,0,1:09,17,9,1,1,3,2,19,10,0,0,2,2,http://ufcstats.com/fight-details/73f451d894a1d4ca,http://ufcstats.com/event-details/585f9ffdb0cd0466
Gerald Meerschaert,http://ufcstats.com/fighter-details/6ac9bc2953c47345,0,72,44,54,30,2,0,0,1,2:53,49,27,5,3,0,0,44,22,3,2,7,6,http://ufcstats.com/fight-details/154138c8fc89c315,http://ufcstats.com/event-details/585f9ffdb0cd0466
Reinier de Ridder,http://ufcstats.com/fighter-details/d549cefc7c54ab78,1,114,82,66,38,13,5,1,0,3:29,42,19,13,10,11,9,61,34,4,3,1,1,http://ufcstats.com/fight-details/154138c8fc89c315,http://ufcstats.com/event-details/585f9ffdb0cd0466
Gaston Bolanos,http://ufcstats.com/fighter-details/96924b0019b3aff1,0,104,80,75,53,2,2,0,1,4:29,42,22,21,19,12,12,44,29,10,9,21,15,http://ufcstats.com/fight-details/e6685759ed2af90d,http://ufcstats.com/event-details/585f9ffdb0cd0466
Cortavious Romious,http://ufcstats.com/fighter-details/8173f134396cb971,0,61,30,45,17,6,4,0,0,6:13,37,12,5,3,3,2,41,14,0,0,4,3,http://ufcstats.com/fight-details/e6685759ed2af90d,http://ufcstats.com/event-details/585f9ffdb0cd0466
Luana Pinheiro,http://ufcstats.com/fighter-details/a3a542074109b347,0,128,63,105,42,0,0,0,1,0:17,84,23,18,16,3,3,102,41,3,1,0,0,http://ufcstats.com/fight-details/c31d9cac7534d879,http://ufcstats.com/event-details/585f9ffdb0cd0466
Gillian Robertson,http://ufcstats.com/fighter-details/38c7f72747f4f712,0,145,78,108,52,17,5,0,1,8:13,72,33,18,5,18,14,76,28,4,4,28,20,http://ufcstats.com/fight-details/c31d9cac7534d879,http://ufcstats.com/event-details/585f9ffdb0cd0466
Mansur Abdul-Malik,http://ufcstats.com/fighter-details/841695e02c99a521,1,54,31,51,29,0,0,0,0,1:27,49,27,2,2,0,0,12,5,2,2,37,22,http://ufcstats.com/fight-details/ea6427379a83bd01,http://ufcstats.com/event-details/585f9ffdb0cd0466
Dusko Todorovic,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f,0,5,3,5,3,0,0,0,0,0:03,4,2,0,0,1,1,5,3,0,0,0,0,http://ufcstats.com/fight-details/ea6427379a83bd01,http://ufcstats.com/event-details/585f9ffdb0cd0466
Karolina Kowalkiewicz,http://ufcstats.com/fighter-details/d7c3816669784109,0,115,61,98,46,1,0,0,0,1:02,57,16,24,19,17,11,89,39,9,7,0,0,http://ufcstats.com/fight-details/e62033cb1e79aa81,http://ufcstats.com/event-details/585f9ffdb0cd0466
Denise Gomes,http://ufcstats.com/fighter-details/cffb87059e645bd1,0,166,91,144,73,3,0,1,0,5:47,85,30,44,33,15,10,115,53,28,20,1,0,http://ufcstats.com/fight-details/e62033cb1e79aa81,http://ufcstats.com/event-details/585f9ffdb0cd0466
Elizeu Zaleski dos Santos,http://ufcstats.com/fighter-details/8adcbd525fab8d9b,0,43,11,35,11,0,0,0,0,0:20,31,7,0,0,4,4,6,5,0,0,29,6,http://ufcstats.com/fight-details/c9d2a718f39274c0,http://ufcstats.com/event-details/585f9ffdb0cd0466
Zachary Scroggin,http://ufcstats.com/fighter-details/03dee485905dbc9f,0,8,3,8,3,0,0,0,0,0:00,5,1,0,0,3,2,8,3,0,0,0,0,http://ufcstats.com/fight-details/c9d2a718f39274c0,http://ufcstats.com/event-details/585f9ffdb0cd0466
Matthew Semelsberger,http://ufcstats.com/fighter-details/4aa58269d0664b5b,0,8,2,8,2,0,0,0,0,0:00,7,1,1,1,0,0,8,2,0,0,0,0,http://ufcstats.com/fight-details/6b9ed3867dd42b3b,http://ufcstats.com/event-details/585f9ffdb0cd0466
Charles Radtke,http://ufcstats.com/fighter-details/feedf3053472fe56,0,12,7,12,7,0,0,0,0,0:00,11,6,0,0,1,1,12,7,0,0,0,0,http://ufcstats.com/fight-details/6b9ed3867dd42b3b,http://ufcstats.com/event-details/585f9ffdb0cd0466
Cody Stamann,http://ufcstats.com/fighter-details/bf7ad5628363eec9,0,33,13,33,13,1,0,0,0,0:00,21,5,9,5,3,3,33,13,0,0,0,0,http://ufcstats.com/fight-details/6fd1edb58d271f7c,http://ufcstats.com/event-details/585f9ffdb0cd0466
Da'Mon Blackshear,http://ufcstats.com/fighter-details/da22387a0407a2dc,0,46,21,44,20,0,0,3,0,1:19,36,15,4,3,4,2,43,19,0,0,1,1,http://ufcstats.com/fight-details/6fd1edb58d271f7c,http://ufcstats.com/event-details/585f9ffdb0cd0466
Tresean Gore,http://ufcstats.com/fighter-details/147e70aa6cc48cfc,0,5,5,3,3,1,1,1,0,0:45,0,0,2,2,1,1,1,1,2,2,0,0,http://ufcstats.com/fight-details/582846744e379178,http://ufcstats.com/event-details/585f9ffdb0cd0466
Antonio Trocoli,http://ufcstats.com/fighter-details/6d48a2df51749d91,0,5,2,5,2,1,0,0,0,0:13,2,0,2,1,1,1,4,2,1,0,0,0,http://ufcstats.com/fight-details/582846744e379178,http://ufcstats.com/event-details/585f9ffdb0cd0466
Melissa Mullins,http://ufcstats.com/fighter-details/bd532e9a2b93870c,0,85,54,60,38,3,2,0,0,2:46,58,36,1,1,1,1,20,9,0,0,40,29,http://ufcstats.com/fight-details/32f2965b4f4c4ebf,http://ufcstats.com/event-details/585f9ffdb0cd0466
Klaudia Sygula,http://ufcstats.com/fighter-details/9f5e3c20ce40b344,0,42,22,32,12,3,0,0,0,1:04,23,5,2,1,7,6,32,12,0,0,0,0,http://ufcstats.com/fight-details/32f2965b4f4c4ebf,http://ufcstats.com/event-details/585f9ffdb0cd0466
Brandon Moreno,http://ufcstats.com/fighter-details/792be9a24df82ed6,0,317,132,317,132,1,0,0,0,0:00,284,113,22,12,11,7,309,128,8,4,0,0,http://ufcstats.com/fight-details/799acf3ae8a5df0a,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Amir Albazi,http://ufcstats.com/fighter-details/6d35bf94f7d30241,0,236,63,235,63,4,1,0,0,0:09,207,50,14,6,14,7,234,63,1,0,0,0,http://ufcstats.com/fight-details/799acf3ae8a5df0a,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Erin Blanchfield,http://ufcstats.com/fighter-details/669970f7feba8ecd,0,387,193,281,110,8,2,0,0,8:54,248,81,16,15,17,14,269,103,6,2,6,5,http://ufcstats.com/fight-details/18729b11614406bf,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Rose Namajunas,http://ufcstats.com/fighter-details/47b63240018d5d86,0,254,101,245,94,4,1,0,0,0:15,212,68,24,18,9,8,241,91,4,3,0,0,http://ufcstats.com/fight-details/18729b11614406bf,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Caio Machado,http://ufcstats.com/fighter-details/89839250eb25c9c1,0,187,79,184,76,0,0,0,0,0:02,114,24,47,33,23,19,184,76,0,0,0,0,http://ufcstats.com/fight-details/7edf2fe3a8776a44,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Brendson Ribeiro,http://ufcstats.com/fighter-details/49edd0d90f60fb7d,0,131,49,131,49,0,0,0,0,0:00,93,25,25,16,13,8,130,49,1,0,0,0,http://ufcstats.com/fight-details/7edf2fe3a8776a44,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Ariane da Silva,http://ufcstats.com/fighter-details/6551c64fbcd1a467,0,93,43,92,42,0,0,0,0,0:00,65,26,23,15,4,1,88,41,4,1,0,0,http://ufcstats.com/fight-details/eaa885cf7ae31e0b,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Jasmine Jasudavicius,http://ufcstats.com/fighter-details/a9e260472d321361,0,218,130,84,36,5,3,1,0,5:44,76,29,6,5,2,2,70,24,1,1,13,11,http://ufcstats.com/fight-details/eaa885cf7ae31e0b,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,0,17,13,11,7,0,0,0,0,0:01,10,6,1,1,0,0,2,0,9,7,0,0,http://ufcstats.com/fight-details/6ad594777cce2d7d,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Dustin Stoltzfus,http://ufcstats.com/fighter-details/71505842fb6455c3,1,32,23,20,13,0,0,1,0,3:54,17,11,2,1,1,1,5,2,10,7,5,4,http://ufcstats.com/fight-details/6ad594777cce2d7d,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Mike Malott,http://ufcstats.com/fighter-details/dd6103dd7127db1d,0,130,59,130,59,1,0,0,0,0:00,82,22,28,19,20,18,129,59,1,0,0,0,http://ufcstats.com/fight-details/d29a82322bb083d9,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Trevin Giles,http://ufcstats.com/fighter-details/b27a1fcb56a3035a,0,78,34,78,34,0,0,0,0,0:00,64,23,5,3,9,8,77,34,1,0,0,0,http://ufcstats.com/fight-details/d29a82322bb083d9,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Aiemann Zahabi,http://ufcstats.com/fighter-details/24656ef4d605c96f,0,208,110,206,109,1,0,0,0,0:00,188,98,17,11,1,0,204,109,2,0,0,0,http://ufcstats.com/fight-details/b989d4d7e220b3c1,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Pedro Munhoz,http://ufcstats.com/fighter-details/6bd02119599741a4,0,327,95,327,95,6,0,0,0,0:02,304,82,14,7,9,6,324,94,3,1,0,0,http://ufcstats.com/fight-details/b989d4d7e220b3c1,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Charles Jourdain,http://ufcstats.com/fighter-details/f1d64ae34e088832,0,87,50,73,39,2,0,1,0,0:17,49,19,18,14,6,6,62,31,11,8,0,0,http://ufcstats.com/fight-details/24581e2b39fe3319,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Victor Henry,http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8,0,75,39,54,24,6,4,0,0,3:49,30,8,17,11,7,5,51,22,2,1,1,1,http://ufcstats.com/fight-details/24581e2b39fe3319,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Jack Shore,http://ufcstats.com/fighter-details/b8a85389d115e35a,0,21,10,18,8,4,2,0,0,1:49,16,8,0,0,2,0,17,7,0,0,1,1,http://ufcstats.com/fight-details/5256ba94641a4284,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Youssef Zalal,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,1,37,21,27,13,2,1,1,0,2:07,22,9,2,1,3,3,23,11,2,0,2,2,http://ufcstats.com/fight-details/5256ba94641a4284,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Alexandr Romanov,http://ufcstats.com/fighter-details/c0badf3243907e59,0,135,87,92,45,10,6,1,0,7:33,82,37,5,3,5,5,79,39,8,4,5,2,http://ufcstats.com/fight-details/de084f0d65421cfa,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Rodrigo Nascimento,http://ufcstats.com/fighter-details/d31a5546c0e9b213,0,108,48,91,31,0,0,0,0,0:00,77,19,9,7,5,5,90,30,1,1,0,0,http://ufcstats.com/fight-details/de084f0d65421cfa,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Serhiy Sidey,http://ufcstats.com/fighter-details/1a2bf44edb8055b6,0,151,75,144,68,4,0,3,1,0:47,106,40,31,22,7,6,131,60,12,7,1,1,http://ufcstats.com/fight-details/f93b074dfd47b4b4,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Garrett Armfield,http://ufcstats.com/fighter-details/1effd880e1f1bb30,0,148,77,142,71,5,4,1,0,4:53,127,57,10,9,5,5,133,65,7,4,2,2,http://ufcstats.com/fight-details/f93b074dfd47b4b4,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Chad Anheliger,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,0,77,59,19,11,0,0,0,0,0:00,16,8,0,0,3,3,19,11,0,0,0,0,http://ufcstats.com/fight-details/c9cef59a5de32219,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Cody Gibson,http://ufcstats.com/fighter-details/700a674c042b7a96,0,93,59,34,16,6,5,2,0,12:25,28,15,2,0,4,1,22,6,0,0,12,10,http://ufcstats.com/fight-details/c9cef59a5de32219,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Jamey-Lyn Horth,http://ufcstats.com/fighter-details/5c637af9472ae7cc,0,94,50,70,29,4,2,0,0,2:30,52,17,17,11,1,1,58,21,12,8,0,0,http://ufcstats.com/fight-details/f0723cda67db3954,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Ivana Petrovic,http://ufcstats.com/fighter-details/38c5817ade8a8014,0,128,67,75,25,6,2,0,2,7:45,64,17,9,6,2,2,75,25,0,0,0,0,http://ufcstats.com/fight-details/f0723cda67db3954,http://ufcstats.com/event-details/3ab0df1ddd5f1dc2
Ilia Topuria,http://ufcstats.com/fighter-details/54f64b5e283b0ce7,1,147,78,144,75,2,2,0,0,0:45,114,49,14,11,16,15,140,71,0,0,4,4,http://ufcstats.com/fight-details/ebf7cea27b83c432,http://ufcstats.com/event-details/221b2a3070c7ce3e
Max Holloway,http://ufcstats.com/fighter-details/150ff4cc642270b9,0,209,84,204,79,0,0,0,0,0:00,151,47,30,13,23,19,204,79,0,0,0,0,http://ufcstats.com/fight-details/ebf7cea27b83c432,http://ufcstats.com/event-details/221b2a3070c7ce3e
Robert Whittaker,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,0,2,2,2,2,0,0,0,0,0:00,0,0,0,0,2,2,2,2,0,0,0,0,http://ufcstats.com/fight-details/b8bf186f884678ea,http://ufcstats.com/event-details/221b2a3070c7ce3e
Khamzat Chimaev,http://ufcstats.com/fighter-details/767755fd74662dbf,0,31,25,4,3,4,2,1,0,3:20,3,2,1,1,0,0,1,0,0,0,3,3,http://ufcstats.com/fight-details/b8bf186f884678ea,http://ufcstats.com/event-details/221b2a3070c7ce3e
Magomed Ankalaev,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,0,142,75,114,55,0,0,0,0,1:31,72,20,29,22,13,13,105,50,9,5,0,0,http://ufcstats.com/fight-details/b09f54654b0f95f5,http://ufcstats.com/event-details/221b2a3070c7ce3e
Aleksandar Rakic,http://ufcstats.com/fighter-details/333b9e5c723ac873,0,123,59,117,53,1,0,0,0,1:00,65,10,12,9,40,34,111,50,6,3,0,0,http://ufcstats.com/fight-details/b09f54654b0f95f5,http://ufcstats.com/event-details/221b2a3070c7ce3e
Lerone Murphy,http://ufcstats.com/fighter-details/396fe87b84ac2e1c,0,133,78,100,52,5,3,0,0,2:17,77,36,17,12,6,4,80,37,16,12,4,3,http://ufcstats.com/fight-details/cc11a0762f246fa4,http://ufcstats.com/event-details/221b2a3070c7ce3e
Dan Ige,http://ufcstats.com/fighter-details/82a5152216251682,1,116,52,106,46,3,1,0,2,4:47,92,35,8,5,6,6,79,32,16,6,11,8,http://ufcstats.com/fight-details/cc11a0762f246fa4,http://ufcstats.com/event-details/221b2a3070c7ce3e
Shara Magomedov,http://ufcstats.com/fighter-details/06734ca9d88dec3a,1,108,67,106,65,0,0,0,0,0:02,53,24,34,29,19,12,104,63,2,2,0,0,http://ufcstats.com/fight-details/108434acbbd75d26,http://ufcstats.com/event-details/221b2a3070c7ce3e
Armen Petrosyan,http://ufcstats.com/fighter-details/369ea36e450ae62a,0,141,77,140,77,0,0,0,0,0:21,66,22,14,10,60,45,138,75,2,2,0,0,http://ufcstats.com/fight-details/108434acbbd75d26,http://ufcstats.com/event-details/221b2a3070c7ce3e
Ibo Aslan,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,0,36,28,36,28,0,0,0,0,0:00,33,26,2,2,1,0,36,28,0,0,0,0,http://ufcstats.com/fight-details/781a2ea50f5ae68f,http://ufcstats.com/event-details/221b2a3070c7ce3e
Rafael Cerqueira,http://ufcstats.com/fighter-details/09a4447655fd4b7b,0,1,1,1,1,0,0,0,0,0:00,0,0,0,0,1,1,1,1,0,0,0,0,http://ufcstats.com/fight-details/781a2ea50f5ae68f,http://ufcstats.com/event-details/221b2a3070c7ce3e
Geoff Neal,http://ufcstats.com/fighter-details/b997be68943010fc,1,34,21,30,18,1,1,0,0,0:27,24,12,3,3,3,3,24,13,0,0,6,5,http://ufcstats.com/fight-details/1d65c141776949d6,http://ufcstats.com/event-details/221b2a3070c7ce3e
Rafael Dos Anjos,http://ufcstats.com/fighter-details/6a2f7c151031653d,0,13,4,13,4,0,0,0,0,0:00,10,2,1,1,2,1,13,4,0,0,0,0,http://ufcstats.com/fight-details/1d65c141776949d6,http://ufcstats.com/event-details/221b2a3070c7ce3e
Mateusz Rebecki,http://ufcstats.com/fighter-details/849c5d9979df5357,1,174,93,146,71,4,3,0,0,2:24,123,52,11,10,12,9,126,54,6,5,14,12,http://ufcstats.com/fight-details/919e3c5cc6999cb3,http://ufcstats.com/event-details/221b2a3070c7ce3e
Myktybek Orolbai,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1,0,162,85,135,61,5,2,0,1,2:05,114,46,11,6,10,9,133,60,1,0,1,1,http://ufcstats.com/fight-details/919e3c5cc6999cb3,http://ufcstats.com/event-details/221b2a3070c7ce3e
Abus Magomedov,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,0,81,45,59,26,8,4,1,0,3:36,40,10,11,8,8,8,57,26,0,0,2,0,http://ufcstats.com/fight-details/af6eeea1cfe33240,http://ufcstats.com/event-details/221b2a3070c7ce3e
Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a,0,83,36,71,29,0,0,1,1,0:13,59,20,12,9,0,0,65,26,2,1,4,2,http://ufcstats.com/fight-details/af6eeea1cfe33240,http://ufcstats.com/event-details/221b2a3070c7ce3e
Kennedy Nzechukwu,http://ufcstats.com/fighter-details/8667caa0451d245b,0,74,51,74,51,0,0,0,0,0:00,50,28,23,22,1,1,73,50,0,0,1,1,http://ufcstats.com/fight-details/df7928de73fc2fe8,http://ufcstats.com/event-details/221b2a3070c7ce3e
Chris Barnett,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,0,34,12,34,12,1,0,0,0,0:00,22,3,3,2,9,7,34,12,0,0,0,0,http://ufcstats.com/fight-details/df7928de73fc2fe8,http://ufcstats.com/event-details/221b2a3070c7ce3e
Farid Basharat,http://ufcstats.com/fighter-details/a09ed60aa67a3f67,0,168,89,126,60,7,4,0,0,4:37,98,39,13,8,15,13,116,54,3,2,7,4,http://ufcstats.com/fight-details/5c783cd188425783,http://ufcstats.com/event-details/221b2a3070c7ce3e
Victor Hugo,http://ufcstats.com/fighter-details/f264ba50b007f39e,0,128,48,125,45,4,1,1,0,0:18,82,23,28,14,15,8,122,43,3,2,0,0,http://ufcstats.com/fight-details/5c783cd188425783,http://ufcstats.com/event-details/221b2a3070c7ce3e
Ismail Naurdiev,http://ufcstats.com/fighter-details/6a96ad1bc34fb113,0,166,107,116,66,13,3,0,0,5:51,87,42,20,15,9,9,96,51,16,11,4,4,http://ufcstats.com/fight-details/bde635a4f345bc3e,http://ufcstats.com/event-details/221b2a3070c7ce3e
Bruno Silva,http://ufcstats.com/fighter-details/12ebd7d157e91701,0,100,38,97,36,3,0,0,0,0:00,83,28,6,4,8,4,85,30,12,6,0,0,http://ufcstats.com/fight-details/bde635a4f345bc3e,http://ufcstats.com/event-details/221b2a3070c7ce3e
Rinat Fakhretdinov,http://ufcstats.com/fighter-details/8f765fd5775a8873,0,236,119,222,109,19,2,0,0,3:14,184,82,26,15,12,12,197,96,25,13,0,0,http://ufcstats.com/fight-details/6114076c689e8457,http://ufcstats.com/event-details/221b2a3070c7ce3e
Carlos Leal,http://ufcstats.com/fighter-details/28d421729451c8ca,0,292,146,246,107,4,1,0,0,0:13,207,72,20,16,19,19,231,94,15,13,0,0,http://ufcstats.com/fight-details/6114076c689e8457,http://ufcstats.com/event-details/221b2a3070c7ce3e
Anthony Hernandez,http://ufcstats.com/fighter-details/093e1f5bb73850be,0,293,219,212,152,29,10,0,0,15:42,182,125,24,22,6,5,81,43,14,12,117,97,http://ufcstats.com/fight-details/a2f2c64f9fb3fb1c,http://ufcstats.com/event-details/6a0047ac8c99fece
Michel Pereira,http://ufcstats.com/fighter-details/595db60957de51d3,0,62,29,53,24,1,0,1,1,0:56,27,8,26,16,0,0,45,20,8,4,0,0,http://ufcstats.com/fight-details/a2f2c64f9fb3fb1c,http://ufcstats.com/event-details/6a0047ac8c99fece
