id,f_1_odd,f_2_odd,fight_round,event_city,event_state,f_1_gender,f_2_gender,f_1_weight_class,f_2_weight_class,f_1_fighter_stance,f_2_fighter_stance,f_1_prev_result,f_2_prev_result,age_diff,height_diff,weight_diff,win_ratio_diff,prev_win_streak_continuous_diff,prev_loss_streak_continuous_diff,avg_total_strike_succ_ratio_diff,avg_sig_strikes_succ_ratio_diff,avg_submission_ratio_diff,avg_reversal_ratio_diff,avg_head_strikes_succ_ratio_diff,avg_body_strikes_succ_ratio_diff,avg_leg_strikes_succ_ratio_diff,avg_distance_strikes_succ_ratio_diff,avg_clinch_strikes_succ_ratio_diff,avg_ground_strikes_succ_ratio_diff,label
551,,,3,Anaheim,California,M,M,Welterweight,Welterweight,Orthodox,Southpaw,Submission,Decision,3.8500000000000014,5.079999999999984,0.0,0.1428571428571429,6,0,0.3022964386283868,0.10207092185200856,0.9047619047619047,-0.2857142857142857,0.08097399895235335,0.15708574579542323,-0.15873015873015872,0.1897804214524006,-0.18189223057644122,-0.12116752090041927,1
552,,,3,Anaheim,California,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,Decision,,2.6999999999999993,5.0800000000000125,0.0,0.7142857142857143,1,0,0.488593429872265,0.4427397434760401,0.2857142857142857,0.0,0.37978674998067957,0.6045021645021645,0.6870262260887261,0.3812738532375991,0.6657313772966814,0.9333333333333333,1
553,,,3,Anaheim,California,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,KO/TKO,KO/TKO,-5.869999999999997,0.0,-20.0,-0.16666666666666674,0,1,0.014126969746827867,0.018895057209302124,0.0,-0.1111111111111111,0.011471587977374187,0.24229691876750703,0.042096321978674855,0.08047896179044062,-0.04613237639553425,-0.0674660327265787,1
554,,,3,Cincinnati,Ohio,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Submission,Submission,-9.05,0.0,-10.0,0.0,0,1,-0.050000000000000044,0.6842105263157895,-2.0,-1.0,0.625,1.0,0.0,0.0,0.0,0.7428571428571429,1
555,,,3,Cincinnati,Ohio,M,M,Welterweight,Welterweight,Orthodox,Orthodox,Decision,Decision,-4.550000000000001,2.5400000000000205,0.0,0.16666666666666663,-1,0,0.14347268331581348,0.2538783819853476,0.3333333333333333,-0.08333333333333334,0.15327995632730673,0.20760233918128657,0.09722222222222221,0.13316990729673014,0.2230417342375547,0.0625,1
556,,,3,Cincinnati,Ohio,M,M,Middleweight,Middleweight,Southpaw,Orthodox,,Submission,-0.13000000000000256,0.0,-15.0,0.0,0,0,-0.4827586206896552,-0.4230769230769231,-1.0,0.0,-0.4,-0.4,-1.0,-0.3333333333333333,-0.6666666666666666,-0.6,1
557,,,3,Cincinnati,Ohio,M,M,Middleweight,Middleweight,Southpaw,Orthodox,Decision,KO/TKO,-6.129999999999999,-2.539999999999992,-15.0,0.050000000000000044,-1,0,-0.15775608279702957,-0.16563607594826352,0.44999999999999996,-0.5,-0.0299294710235658,-0.01388888888888884,0.12182539682539684,-0.08838835481384949,0.11111111111111105,-0.18045751633986928,1
558,,,3,Cincinnati,Ohio,M,M,Middleweight,Middleweight,Orthodox,Orthodox,Submission,Decision,-9.310000000000002,-2.539999999999992,0.0,-0.16666666666666663,0,-1,-0.3129508913844786,-0.3300129455057778,0.08333333333333337,-0.08333333333333331,-0.34971612437245425,-0.16666666666666663,-0.12083333333333335,-0.16653587153587152,-0.2666666666666667,0.10967418546365915,1
559,,,3,Cincinnati,Ohio,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,Submission,KO/TKO,0.4599999999999973,2.539999999999992,20.0,0.0714285714285714,1,0,-0.2886525194241313,-0.2287769784630927,-0.8571428571428572,0.14285714285714285,-0.09996790735090444,-0.18666666666666665,-0.11250000000000004,-0.017034238466369533,-0.17826086956521736,-0.1633986928104575,1
560,,,3,Cincinnati,Ohio,M,M,Lightweight,Lightweight,Southpaw,Orthodox,KO/TKO,Decision,-5.469999999999999,5.079999999999984,0.0,-0.6666666666666666,-2,-1,0.2039341778333843,0.09943322140533362,-0.3333333333333333,0.0,0.0610923237199994,0.4571428571428572,-0.8055555555555556,0.08390525253365111,-0.053333333333333344,-0.31221719457013575,1
